shortcode,content_type,cluster,engagement_score,pc1,pc2,caption_preview
DSl7NPBCNEH,post,7,46,-0.211,-0.031,"Day One of Entertainment Week Ghana kicked off with an exciting launch event, se"
DSFMv3ZDLbO,post,7,107,-0.289,-0.097,THE CAVEMEN are coming to GHANA for AFROSON1C X 2026! Highlife's modern torchbea
DR1kK1ODc-A,post,7,35.2,-0.25,-0.038,Guess who’s coming for Entertainment Week Ghana ? @the_odditty !! Entertainment 
DTb9L6fCCxM,post,3,17,-0.382,-0.236,captured moments behind the phone 📱 with @malaikurd : @afroson1cx last weekend 
DTeIqVpDO4e,post,3,69,-0.392,-0.29,@tommywatomiwa at @afroson1cx 2026
DQwtyhcDEW5,post,2,48,0.066,-0.011,Rarely gets better than dinner at Treehouse! #dinnertime#
DOyb_fIjO7d,post,2,24,0.073,0.491,Let the music feed your soul and the food speak for itself at #SoulFriday #treeh
DP1i7atjK57,post,2,31.96,0.115,0.375,The throwback to the throwback. Soul Fridays every Friday at 7pm! #reels #treeho
DOqtiQQjNdZ,post,1,12,0.345,-0.265,"Crispy chicken glazed in our house-made sweet & sour sauce, served piping hot an"
DQMPLHujDJj,post,2,19,-0.02,0.506,Soul Fridays? This is what it looks like😍 #treehouserestaurant #soulfridays #So
DP9N2oLjLZl,post,2,79.05,0.069,0.048,"You’ve never dined like this. Afrohouse flowing, plates glowing, energy growing."
DPOcGSJjOI5,post,1,17,0.37,-0.205,"Perfectly stuffed, perfectly delicious. Try our Stuffed egg with creamy shrimp m"
DNn3u9_Mt6A,post,2,931.62,-0.006,0.459,THIS is your Friday night move. 🔥 @effthedj spinning throwback soul & R&B while
DMspdywia88,post,4,12,-0.085,0.043,"Old Fashioned, but make it seductive. That's the APHRO FASHIONED #treehouseresta"
DNBP1VvC6qF,post,1,32,0.453,-0.299,"Gather, eat, repeat. Because everything’s better with friends. #treehouserestaur"
DM0X6-ni0Ur,post,1,52,0.334,-0.194,If you're not here… wyd? 👀 #treehouserestaurant #weekendvibes #lunch #dinner #g
DMxzHd5i8MJ,post,1,11,0.411,-0.357,Our VEGETABLE RAGOUT is proof that vegetables can be the main event. Come try it
DN7_M4B2HMT,post,2,1827.76,-0.045,0.393,Feel the nostalgia. Taste the flavor. Soul Fridays hit different. #treehouserest
DOGqerejC0P,post,2,56,0.045,0.398,This could be your Friday night 👀 Who’s coming with you? Tag them👇 #treehouser
DN5yaEp2Odb,post,1,22,0.282,-0.075,"Came for the food, stayed for the laughs #treehouserestaurant #funtimes #dinner "
DOn3gTfjHrZ,post,1,19,0.076,-0.155,"Everything on the treehouse is perfection, I’m not sure you guys know just how m"
DLAi1YBsAZs,post,2,878.28,-0.137,0.004,"POV: You were at the first house music coffee party in Ghana 🇬🇭☕🎶 Vibes, move"
DLhi-sCicIq,post,1,18,0.247,-0.147,"Evenings like this are made for great food, laughter, and unforgettable company."
DMNiM-aiRRz,post,2,10,0.176,-0.076,Ready for your turn at the table? RSVP now on 0599400737 #treehouserestaurant #d
DLHzEMminst,post,1,28,0.443,-0.328,"Just people, plates and pure joy #treehouserestaurant #lunch #dinner #goodfood #"
DL2d-mLiFf7,post,1,21,0.454,-0.314,Smiles this big only happen when the food hits just right 😍 Come taste the joy 
DLXPusyCwwu,post,6,31.47,0.183,0.097,Family dinners like these are what we live for. Good food and moments that last 
DLqFG_OsCbV,post,6,38.19,0.291,0.087,"It’s not just a meal, it’s an experience. Make memories at our table. #treehouse"
DLZ0l0FiN15,post,2,37.79,0.119,0.432,Soul Fridays bring the best throwback soul and R&B vibes to your dinner table ev
DLSGQFZi_tA,post,5,38.74,0.088,0.159,Live music + amazing food = your new favorite Tuesday tradition. Join us this an
DLpRWI_iO1S,post,2,71,0.064,-0.049,Tag your dinner crew 🍴👇 Who are you bringing next time? #DineTogether #YourTab
DK1xdvSoAmZ,post,2,30.47,0.128,0.289,SOUL FRIDAY with @templegramme is your new Friday ritual. Come through for throw
DOJWG3IDP0t,post,1,14,0.167,-0.049,"When prawns meet pasta in a spicy tomato sauce, magic happens. Come taste it! Fo"
DKJ_8wwiIOD,post,1,13,0.408,-0.357,Sizzling Beef Teriyaki meets Chilli rice. Your cravings just met their match! #t
DJ_sy7NCzBN,post,6,77.78,0.29,0.062,Friendship tastes better with a full table #treehouserestaurant #foodlover #good
DKcBd4AisXV,post,4,11,-0.082,0.047,"Fresh, fruity and dangerously smooth. RUM BASE is what summer tastes like #treeh"
DJrGZhUC-Z_,post,2,35,0.061,0.031,"Just two people, one table and endless memories. #treehouserestaurant #goodvibes"
DJ9IA2KCEHb,post,4,16,-0.087,0.042,Frozen Gin and Tonic. Basically a slushy for grown ups #treehouserestaurant #coc
DJ3-X67iPuK,post,1,11,0.454,-0.362,Craving something delicious? Our Tagliatelle Pesto is waiting for you! #treehous
DNQSqkYsJ0i,post,2,429.3,0.189,0.419,SOUL FRIDAY is Where Taste Meets Tempo. Every Friday we're serving up classic So
DKhLCMnC-zZ,post,1,35,0.263,-0.129,"Dining at the Treehouse Restaurant isn't just having a meal, it's an experience "
DKRuXH-C8eP,post,6,46.81,0.163,-0.017,Family time just got tastier. Join us for lunch and create moments to remember! 
DKPJfwmi1G4,post,4,12,-0.064,0.036,Beat the heat with a glass of our perfectly brewed iced tea. #treehouserestauran
DId9eUeC6LL,post,1,12,0.282,-0.157,"If spicy fried fish and pilaf rice isn’t in your lunch plans, it should be. For "
DHqrTt4iPp4,post,2,282.3,0.003,0.477,"Come for the soulful tunes, stay for the mouthwatering dishes! Join us for “Soul"
DJB5t4UC4gj,post,1,17,0.197,-0.128,"Ribeye done right. Rare, medium? Doesn’t matter - its love at first bite. #treeh"
DJl8wVhCogs,post,1,13,0.39,-0.316,"Crispy, creamy and everything in between. This Chicken Mayo Salad is the perfect"
DIB2cnDCk28,post,6,121.62,0.107,0.174,When the food is as good as the company. #perfection #perfectpairings #reels #ex
DJZExs0iEwO,post,6,20.68,0.11,0.156,"Laughter, love and a table full of flavor. #reels #treehouserestaurant #explore "
DIlk4tiCCYI,post,6,20.59,0.19,0.069,"Tag your foodie squad, this is what weekends are made for. We've got a table for"
DITjYeRClvS,post,6,36.65,0.306,0.086,"Let's turn dinner into a celebration! Join us for food, fun and dancing. #treeho"
DJT7Rl4CpjU,post,1,5,0.216,-0.065,When tender lame meets crispy flatbread. Come get yours. #treehouserestaurant #f
DH56Vy8CTRZ,post,4,72.84,-0.004,0.089,"Friends who drink together, stay together. #treehouserestaurant #friends #drinks"
DIjAIJSCNB3,post,6,35.54,0.121,0.165,"Your Easter table is waiting. Bring your family and friends, we'll bring the fla"
DJJoEtFCxh_,post,6,133.41,0.269,0.203,Surprise guest? Just natural girl @mzveegh doing what she does best. #treehouser
DG8JCyMCKaG,post,1,38,0.128,0.031,Here's to all our incredible women. Today's for you!! #internationalwomensday #t
DG5iSObCApc,post,2,65,-0.098,0.026,Unwind and ignite your creativity at our Creative Mixer this Friday after work! 
DG0f7JNCE0N,post,4,53,-0.067,0.054,"Sip, Savour and spark creativity! Join us for an evening where great minds meet "
DG-edKAC3O1,post,2,36,0.042,0.015,Great food tastes even better when shared outdoors. Come dine with us #outdoorea
DHqdhstCO6D,post,6,17,0.078,-0.014,Sautéed to perfection. These prawns are everything you need today. Call or text 
DHOB60JC77y,post,2,52.75,0.08,0.031,Not just eating but bonding over every bite. #treehouserestaurant #goodvibesonly
DHYb_ryCQ9V,post,1,15,0.193,-0.085,The perfect comfort food does exist. Our slow cooked lamb shank is melt-in-your-
DHGTganMiqU,post,1,-1,0.153,-0.097,A perfect balance of crispy and tender—our Duck Fillet with Roasted Potatoes is 
DHBelZACkVf,post,2,390.01,0.023,0.257,"Good food, great vibes and soulful beats - that's what “Soul Friday” is about! C"
DMDODdDIl7R,post,2,241.96,-0.019,-0.028,The brew that started it all. ☕✨ This is Cafecito. Ready for the next brew? #Caf
DG3J4_XCbaH,post,5,20.92,-0.06,0.195,"Let the music take over and the good times roll 🎶. Join us for more jazz jams, "
DKjv1l1Cdr7,post,6,24.08,0.254,0.149,"Squad goals, good food and great memories. Tag your friends and plan your next n"
DFu3awIiLPh,post,2,36,-0.066,0.027,The After Work Mixer is back this Friday 7th February from 8pm at #treehouserest
DMahAwjCl42,post,1,31,0.428,-0.29,#treehouserestaurant #dinner #goodfood #foodie
DGN-nRKCFRy,post,2,30,-0.089,0.051,@themixerpeople are back this Friday with another edition of the After Work Mixe
DD138oEiDBS,post,7,49,-0.048,0.128,@superjazzclub is LIVE TONIGHT at #Treehouse! Tickets at the link in bio! 🔥🔥🔥
DEmqSLCiHTH,post,8,62,-0.03,0.062,Jazz Night is almost here! Join this evening at 7pm for captivating jazz tunes f
DExIwY2CUZ8,post,5,65.58,0.011,0.285,Come through and enjoy live music with us this and every Tuesday at #Treehouse R
DEFdW_5o6wY,post,7,289.97,-0.346,-0.124,Afropark Recap @treehousegh
DEKtg7rIaQe,post,7,90.82,-0.23,-0.031,@femmefataleselection are ready and energized for @djasporaglobal_ 🚀🌍🎶🎶 Accr
DGQr4zCCio5,post,8,36.81,-0.047,0.129,Join us for smooth jazz tunes this and every Thursday at 7pm! #jazznight #groove
DEpW09ANUHN,post,7,114.1,-0.229,-0.006,RESET MODE ACTIVATED! We’re LIVE at @treehousegh with the incredible sustainable
DHVxbpJiGF7,post,5,23.29,-0.057,0.211,"Live music every Tuesday with @bluejackets_cover, come hang out, enjoy the tunes"
DDXiNpvital,post,2,53,-0.098,0.027,Let's make merry and network this December at the 13th edition of The Afterwork 
DDFNC6lCJqJ,post,5,149.73,0.011,0.285,Come through and enjoy live music with us this and every Tuesday at #Treehouse R
DHdepAlCXhD,post,2,47.94,-0.015,0.324,"Every Friday, we've got the best music with @templegramme that takes you back, a"
DDxVTIBIksd,post,2,24.7,-0.11,0.062,Party Ravers!! @djasporaglobal_ has got all the music genres covered💥🎶 EDM• HO
DGVmK_9iu72,post,2,46,-0.086,0.017,"Don’t forget, the After Work Mixer is happening tonight from 8pm at Treehouse Re"
DOGh0AXjO7k,post,1,1371.01,0.18,0.002,Afro-house. Al fresco. Saturdays @ #TREEHOUSE Hosted by @b.frvnkie 7pm! #reels #
DNGi_XbCOcX,post,2,23,-0.017,0.466,"Soul Friday is here again! From Marvin to Mary, we’re spinning all your favorite"
DKHnR5Wizjs,post,6,55.4,0.205,0.089,"Food isn’t just fuel, it’s an experience. Here’s a taste of what we’re serving u"
DF-h8-Ti51M,post,4,401.75,-0.044,0.094,"Enjoy the rhythm of love with amazing meals, refreshing drinks and music from to"
DEplgOhtEni,post,7,122.73,-0.242,-0.01,"Global music sensation @temsbaby is live at The Creative Reset at @treehousegh, "
DTV825LDTk-,post,3,29.4,-0.381,-0.244,@treehousegh is the only place to be tonight as @afroson1cx takes over. It’s hap
DX-GlSEN6xo,reel,2,24.21,-0.102,-0.017,Everyone is Warming up gently for 9th. Get your gears READY🏃‍♂️🏃‍♂️🏃‍♂️🏃‍♂️
C_dLWQECoCe,reel,8,403.9,-0.015,0.189,Start your weekend early with some jazz tunes from @bluejackets_cover every Thur
DYJ7EH-NkOH,reel,2,56.67,-0.086,0.01,"On this Beautiful day, we intentionally want to celebrate all women. Happy Mothe"
Ct9Niq7gYWk,reel,5,1162.34,-0.081,0.219,Get serenaded! Every Tuesday live music from the Blue Jackets Band! #LiveBand#Li
CzWcDSpMoh9,reel,5,259.18,0.046,0.251,Live music with us tonight at the #Treehouse. Come through and enjoy😊 #livemusi
DQZGnw1Apf2,reel,7,28.6,-0.239,-0.071,Enjoy 10% OFF your favorite dish from @treehousegh today only! Don’t miss out on
DQUsBoXEVxU,reel,7,919.57,-0.124,0.024,"What does our digital future look, feel, and dream like? Join us for BLUR: Dream"
DLmzl8aC2vP,reel,2,174.04,0.15,0.313,"If it makes you say ""that's my song!"", then you're in the right place. SOUL FRID"
DL5EX1au784,reel,7,17.48,-0.263,-0.075,"Good vibes, good energy at one of my favorite spots in Ghana. @treehousegh"
DEFgEc1oJ-g,reel,6,63.08,-0.123,0.004,Who needs 5 golden rings when you can have Sautéed Prawns with a side of Potato 
DFrpVL1MRLy,reel,7,90.46,-0.154,-0.029,"Love is sweet; a GHC200 discount is even sweeter! 💕 This Valentine's day, enjoy"
DDkPBcmqTGz,reel,7,284.67,-0.196,0.038,GET READY FOR THE ULTIMATE FASHION EXPERIENCE! Mark your calendars for January 4
DDsO5jZI4Hy,reel,7,38.34,-0.182,0.033,If you’re not getting turnt with us at @djasporaglobal_ you’re missing out💁🏽‍♀
